country,ticker,sector,industry,roe_ratio,pb_ratio,ps_ratio,evrv_ratio,de_ratio,current_ratio,roe_perc,pb_perc,ps_perc,evrv_perc,de_perc,current_perc
norway,AFG.OL,Industrials,Engineering & Construction,0.1970203709334144,4.388716935238675,0.5021041463754,0.8986882565743703,3.5722103982973548,0.6268339768339768,7,12,32,43,34,17
norway,AKRBP.OL,Energy,Oil & Gas E&P,0.14333356649557816,1.2009793618309266,1.1396187316595827,2.9573925198103908,2.1705163579030353,1.1335067186822712,80,19,25,15,23,68
norway,ATEA.OL,Technology,Information Technology Services,0.18240497250776955,3.7719701922273283,0.4707085714226406,0.848602366172044,3.312694238584748,0.9119870869085039,58,84,91,93,75,74
norway,AUSS.OL,Consumer Defensive,Farm Products,-0.005025842095883087,0.6206967852192541,0.5199345607705175,1.110463642342236,0.9121368739975049,2.9269837167226673,0,51,39,51,86,68
norway,BONHR.OL,Industrials,Conglomerates,0.17216117216117216,1.3568592697624957,0.6702720056035489,1.1930947933691336,1.8621056362991848,1.6077222582738482,80,63,47,0,0,40
norway,BRG.OL,Basic Materials,Specialty Chemicals,0.1600323297635886,3.713881653904987,2.3576193310897615,2.8609543747018704,0.8557284299858557,1.6958154506437768,42,68,72,71,45,57
norway,DNO.OL,Energy,Oil & Gas E&P,-0.0437714985860653,0.8243613433150929,1.367178512000714,2.256522774295796,1.0354200988467874,3.439114391143911,32,29,43,22,31,59
norway,EPR.OL,Consumer Defensive,Discount Stores,0.24916107382550334,2.939219727676187,0.8454512344087874,1.4148688663264193,2.0156599552572705,1.0555232558139536,43,42,42,45,55,24
norway,EQNR.OL,Energy,Oil & Gas Integrated,0.21844181913842095,1.7209525918936697,0.7384273546691662,1.54158500135835,2.0695407427747656,1.5261774631902758,80,75,35,26,75,39
norway,GSF.OL,Consumer Defensive,Farm Products,-0.02928739232576351,1.0723112493169988,0.7477836748458976,1.4508199352216076,1.0518402505873141,3.7915451895043732,8,7,20,29,15,83
norway,KOG.OL,Industrials,Aerospace & Defense,0.2743449714671412,11.652034730318464,4.096410604883942,4.814915221330573,2.408111922439713,1.0983656266108737,100,100,100,100,100,0
norway,MOWI.OL,Consumer Defensive,Farm Products,0.08501814411612234,23.71717040485641,17.238290019204225,17.99657939373324,1.0868325557283567,3.018714401952807,25,24,46,47,48,34
norway,NHY.OL,Basic Materials,Aluminum,-0.014907262957184954,1.1523121724531253,0.5872055620479224,0.9919882646232994,0.9762042333545193,1.5151230766222847,13,73,48,38,63,0
norway,NOD.OL,Technology,Semiconductors,-0.04889354903808584,4.428860337473233,8.473886112365452,8.51055277903212,0.42857142857142855,5.3428571428571425,0,22,91,92,63,98
norway,ORK.OL,Consumer Defensive,Packaged Foods,0.13378986747828292,1.8888391139855853,1.295619418348411,1.8741974744838785,0.8676473696447066,1.1841084241296838,100,75,34,46,74,18
norway,SALM.OL,Consumer Defensive,Farm Products,0.07971075422517447,3.214219919280249,2.9158442028985507,3.9668739511823037,1.1866223829143194,2.16630724343524,12,38,62,70,64,53
norway,SCATC.OL,Utilities,Utilities - Renewable,0.10596908864807249,1.2286592187710355,2.836801781157571,8.738975694201049,2.84517676319062,0.9299119111451551,62,5,6,19,13,8
norway,TGS.OL,Energy,Oil & Gas Equipment & Services,0.07202302447818312,2.028745418572409,1.7955302644284823,2.5544588358570537,1.0151324085750313,0.7206790123456791,77,88,14,26,98,3
norway,VEI.OL,Industrials,Engineering & Construction,0.41297366730892743,5.30478619329885,0.43572230971546255,0.7914408157293896,4.7809890815671165,0.8347029077117573,85,94,100,85,50,13
norway,WAWI.OL,Industrials,Marine Shipping,0.23888194428847023,0.9996581188391106,0.824220110333681,1.3995189151145575,1.1454457598453731,1.8992758393680051,78,83,74,23,25,85
norway,WWI.OL,Industrials,Marine Shipping,0.1885436776370525,0.5691501667676578,1.5517396056212562,2.5290980961872935,0.42318339100346014,1.1696969696969697,88,90,91,51,3,23
norway,YAR.OL,Basic Materials,Agricultural Inputs,0.03687437514048303,1.0229448571707382,0.5270528440211661,1.0798298346700752,1.1927677712085798,1.7099216004325493,22,65,34,57,81,48
