country,ticker,sector,industry,roe_ratio,pb_ratio,ps_ratio,evrv_ratio,de_ratio,current_ratio,roe_perc,pb_perc,ps_perc,evrv_perc,de_perc,current_perc
norway,AFG.OL,Industrials,Engineering & Construction,0.1970203709334144,4.42831428056939,0.5066343978291612,0.9032185080281315,3.5722103982973548,0.6268339768339768,8,14,35,47,37,17
norway,AKRBP.OL,Energy,Oil & Gas E&P,0.13516101350230053,1.258001580611544,1.2790568556851527,3.205202452045244,2.1513504874540517,0.9588642155078267,77,21,30,19,16,52
norway,ATEA.OL,Technology,Information Technology Services,0.18129432624113476,3.6613164893617016,0.5429877728109388,0.8971160925585064,2.5718085106382977,0.9213118189438391,58,83,96,96,20,79
norway,AUSS.OL,Consumer Defensive,Farm Products,-0.005025842095883087,0.6763354728452621,0.566541015486499,1.1570700970582177,0.9121368739975049,2.9269837167226673,0,57,42,55,88,70
norway,BONHR.OL,Industrials,Conglomerates,0.1606533398342272,1.246765602145295,0.8601131012445341,1.6868874032963337,1.9962213554363726,1.6120661693156018,80,59,63,18,0,42
norway,BRG.OL,Basic Materials,Specialty Chemicals,0.17121181053926593,4.13163830223498,2.550632911392405,3.083037974683544,0.9034242362107853,1.7174817898022894,55,84,83,81,57,59
norway,DNO.OL,Energy,Oil & Gas E&P,0.01143084648207366,0.8199694382326278,1.2711586517324909,2.1317114155515866,1.1377633711507293,2.5590361445783136,47,28,39,22,40,31
norway,EPR.OL,Consumer Defensive,Discount Stores,0.24166211044286495,3.186032397362494,1.4381177825212244,2.059169115196447,1.4267359212684527,1.3421052631578947,36,54,99,96,0,54
norway,EQNR.OL,Energy,Oil & Gas Integrated,0.19406825143342116,1.6869362917750177,0.8418376223482867,1.6129026309177794,1.7395419420538727,1.875070361908546,75,71,55,30,26,91
norway,GSF.OL,Consumer Defensive,Farm Products,-0.02928739232576351,1.2961906270599963,0.9039075091500739,1.6069437695257838,1.0518402505873141,3.7915451895043732,8,26,29,43,15,85
norway,KOG.OL,Industrials,Aerospace & Defense,0.23265280561122245,9.979483967935872,3.337642426273459,3.992782339142092,2.333041082164329,1.1366939294209653,92,100,100,100,94,13
norway,MOWI.OL,Consumer Defensive,Farm Products,0.08501814411612234,25.814790864729893,18.762898107785972,19.521187482314986,1.0868325557283567,3.018714401952807,27,38,58,58,50,33
norway,NHY.OL,Basic Materials,Aluminum,0.018675782333622673,1.2361019894975815,0.7263285373034243,1.1562475613858725,0.9072474921475807,1.875233819678264,25,83,74,61,48,34
norway,NOD.OL,Technology,Semiconductors,-0.04889354903808584,4.3388688847439,8.301702466143329,8.338369132809996,0.42857142857142855,5.3428571428571425,0,21,93,93,65,99
norway,ORK.OL,Consumer Defensive,Packaged Foods,0.11380513736152255,1.6711660724124877,1.2036752651680873,1.767961814533844,0.8038996875380433,1.1607078921794283,50,34,22,20,72,16
norway,SALM.OL,Consumer Defensive,Farm Products,0.07971075422517447,3.638530227865131,3.30076582761251,4.351795575896262,1.1866223829143194,2.16630724343524,13,44,69,74,66,53
norway,SCATC.OL,Utilities,Utilities - Renewable,0.10596908864807249,1.0853979607800817,2.5060316329905983,8.408205546034077,2.84517676319062,0.9299119111451551,63,1,1,12,13,8
norway,SCHA.OL,Communication Services,Publishing,0.3005225125069483,1.6948473596442468,5.022783342119136,5.887899314707433,0.29776542523624233,8.985250106883283,94,28,85,85,8,99
norway,TEL.OL,Communication Services,Telecom Services,-0.05016826140223005,2.684633123911527,2.0673688464840336,3.6716609072464297,2.3865670021556067,0.8644487932159165,0,46,92,88,30,92
norway,TGS.OL,Energy,Oil & Gas Equipment & Services,0.06285173974231972,2.123138492771358,2.55963900526547,3.735625847370733,1.1937244201909956,0.7281831187410587,65,92,41,61,100,3
norway,TOM.OL,Industrials,Waste Management,0.09405436836749527,5.822679590557113,3.0143146375257666,3.7125385989947612,1.5108300625090856,1.4625574002119393,8,48,49,52,99,21
norway,VEI.OL,Industrials,Engineering & Construction,0.41297366730892743,5.053415476579121,0.4150753269167383,0.7707938329306653,4.7809890815671165,0.8347029077117573,87,90,100,83,53,13
norway,WAWI.OL,Industrials,Marine Shipping,0.23888194428847023,1.0356731112995337,0.8539145433603128,1.4292133481411893,1.1454457598453731,1.8992758393680051,80,87,72,26,28,84
norway,WWI.OL,Industrials,Marine Shipping,0.1885436776370525,0.5596031317122004,1.5257104251398674,2.503068915705905,0.42318339100346014,1.1696969696969697,90,86,91,45,2,22
norway,YAR.OL,Basic Materials,Agricultural Inputs,-0.004331043166804718,1.0718794099461375,0.5999614615852361,1.196492381645568,1.1099434114793858,1.6991477272727273,0,69,69,82,76,43
