country,ticker,sector,industry,roe_ratio,pb_ratio,ps_ratio,evrv_ratio,de_ratio,current_ratio,roe_perc,pb_perc,ps_perc,evrv_perc,de_perc,current_perc
norway,AFG.OL,Industrials,Engineering & Construction,0.1970203709334144,4.408515859657815,0.5043693009049168,0.9009534111038873,3.5722103982973548,0.6268339768339768,8,14,34,46,36,17
norway,AKRBP.OL,Energy,Oil & Gas E&P,0.13516101350230053,1.2397488476552054,1.2604986252483945,3.1866442216084856,2.1513504874540517,0.9588642155078267,76,19,29,18,16,52
norway,ATEA.OL,Technology,Information Technology Services,0.18129432624113476,3.9054043313290205,0.579186968937567,0.9333152886851348,2.5718085106382977,0.9213118189438391,58,87,97,96,20,78
norway,AUSS.OL,Consumer Defensive,Farm Products,-0.005025842095883087,0.611303214780746,0.5120659169555066,1.1025949985272254,0.9121368739975049,2.9269837167226673,0,49,38,50,88,69
norway,BONHR.OL,Industrials,Conglomerates,0.1606533398342272,1.2208453193564115,0.842231331987891,1.6690056340396908,1.9962213554363726,1.6120661693156018,79,57,62,17,0,41
norway,BRG.OL,Basic Materials,Specialty Chemicals,0.17121181053926593,3.9081403753027604,2.4126583051077928,2.945063368398932,0.9034242362107853,1.7174817898022894,54,78,76,76,57,59
norway,DNO.OL,Energy,Oil & Gas E&P,0.01143084648207366,0.8053662558697985,1.2485200499288083,2.109072813747904,1.1377633711507293,2.5590361445783136,47,27,39,21,40,30
norway,EPR.OL,Consumer Defensive,Discount Stores,0.24166211044286495,3.3320967741935483,1.5040486179664363,2.1250999506416584,1.4267359212684527,1.3421052631578947,36,61,100,97,0,53
norway,EQNR.OL,Energy,Oil & Gas Integrated,0.19406825143342116,1.637501204098028,0.8171678604411629,1.5882328690106553,1.7395419420538727,1.875070361908546,74,68,51,29,26,91
norway,GSF.OL,Consumer Defensive,Farm Products,-0.02928739232576351,1.2988558851823082,0.9057661453570379,1.608802405732748,1.0518402505873141,3.7915451895043732,8,26,30,43,15,84
norway,KOG.OL,Industrials,Aerospace & Defense,0.23265280561122245,10.17245741482966,3.402182473190349,4.057322386058981,2.333041082164329,1.1366939294209653,91,100,100,100,94,13
norway,MOWI.OL,Consumer Defensive,Farm Products,0.08501814411612234,25.017291820599294,18.183253926878688,18.9415433014077,1.0868325557283567,3.018714401952807,27,34,56,56,50,33
norway,NHY.OL,Basic Materials,Aluminum,0.018675782333622673,1.2167149375052084,0.7149367838430409,1.1448558079254891,0.9072474921475807,1.875233819678264,25,81,72,58,48,34
norway,NOD.OL,Technology,Semiconductors,-0.04889354903808584,4.782397802156069,9.15032112812528,9.186987794791946,0.42857142857142855,5.3428571428571425,0,25,94,95,65,99
norway,ORK.OL,Consumer Defensive,Packaged Foods,0.11380513736152255,1.7966805989530494,1.294078447419185,1.8583649967849418,0.8038996875380433,1.1607078921794283,50,59,32,41,71,16
norway,SALM.OL,Consumer Defensive,Farm Products,0.07971075422517447,3.300191288993526,2.9938348588863466,4.0448646071700995,1.1866223829143194,2.16630724343524,13,41,65,72,65,53
norway,SCATC.OL,Utilities,Utilities - Renewable,0.10596908864807249,1.1997246402558182,2.7699958982772763,8.672169811320755,2.84517676319062,0.9299119111451551,63,2,4,17,13,8
norway,SCHA.OL,Communication Services,Publishing,0.3005225125069483,1.4681990716413633,4.351097341003579,5.216213313591877,0.29776542523624233,8.985250106883283,94,33,88,86,8,99
norway,TEL.OL,Communication Services,Telecom Services,-0.05016826140223005,2.68029263526821,2.064026344702398,3.668318405464794,2.3865670021556067,0.8644487932159165,0,46,92,87,29,92
norway,TGS.OL,Energy,Oil & Gas Equipment & Services,0.06285173974231972,2.0823415707533246,2.5104545581614928,3.686441400266756,1.1937244201909956,0.7281831187410587,64,90,39,61,99,3
norway,TOM.OL,Industrials,Waste Management,0.09405436836749527,5.736608940753363,2.9697571420411184,3.667981103510113,1.5108300625090856,1.4625574002119393,8,47,48,51,99,21
norway,VEI.OL,Industrials,Engineering & Construction,0.41297366730892743,4.836716696874561,0.397276213179663,0.7529947191935901,4.7809890815671165,0.8347029077117573,87,86,99,79,52,13
norway,WAWI.OL,Industrials,Marine Shipping,0.23888194428847023,0.946609103660421,0.7804810916435224,1.3557798964243986,1.1454457598453731,1.8992758393680051,80,80,72,13,27,84
norway,WWI.OL,Industrials,Marine Shipping,0.1885436776370525,0.5412434489132437,1.4756543088295042,2.453012799395542,0.42318339100346014,1.1696969696969697,89,76,88,38,2,22
norway,YAR.OL,Basic Materials,Agricultural Inputs,-0.004331043166804718,0.9986779092127205,0.5589884948851289,1.1555194149454606,1.1099434114793858,1.6991477272727273,0,63,52,76,76,43
