country,ticker,sector,industry,roe_ratio,pb_ratio,ps_ratio,evrv_ratio,de_ratio,current_ratio,roe_perc,pb_perc,ps_perc,evrv_perc,de_perc,current_perc
norway,AFG.OL,Industrials,Engineering & Construction,0.1970203709334144,4.395316408875867,0.5028591786834815,0.8994432888824517,3.5722103982973548,0.6268339768339768,8,14,34,45,37,17
norway,AKRBP.OL,Energy,Oil & Gas E&P,0.13516101350230053,1.242150530759308,1.262940505518523,3.1890861018786136,2.1513504874540517,0.9588642155078267,76,19,29,19,16,52
norway,ATEA.OL,Technology,Information Technology Services,0.18129432624113476,3.7061490121800844,0.5496366139546588,0.9037649337022265,2.5718085106382977,0.9213118189438391,58,84,96,96,20,78
norway,AUSS.OL,Consumer Defensive,Farm Products,-0.005025842095883087,0.6058838599420363,0.5075263254112572,1.0980554069829758,0.9121368739975049,2.9269837167226673,0,48,38,49,88,69
norway,BONHR.OL,Industrials,Conglomerates,0.1606533398342272,1.2545416869819601,0.865477632021527,1.6922519340733269,1.9962213554363726,1.6120661693156018,80,59,64,19,0,41
norway,BRG.OL,Basic Materials,Specialty Chemicals,0.17121181053926593,3.850727969074386,2.3772152285032635,2.9096202917944027,0.9034242362107853,1.7174817898022894,54,76,75,75,57,59
norway,DNO.OL,Energy,Oil & Gas E&P,0.01143084648207366,0.8075567854493225,1.251915921161387,2.112468684980483,1.1377633711507293,2.5590361445783136,47,28,39,21,40,31
norway,EPR.OL,Consumer Defensive,Discount Stores,0.24166211044286495,3.259064585778021,1.4710832002438303,2.0921345329190526,1.4267359212684527,1.3421052631578947,36,58,99,97,0,53
norway,EQNR.OL,Energy,Oil & Gas Integrated,0.19406825143342116,1.6525831530393411,0.8246942573175818,1.5957592658870745,1.7395419420538727,1.875070361908546,74,70,52,29,26,91
norway,GSF.OL,Consumer Defensive,Farm Products,-0.02928739232576351,1.26331947171324,0.8809845813552903,1.5840208417310004,1.0518402505873141,3.7915451895043732,8,23,28,41,15,85
norway,KOG.OL,Industrials,Aerospace & Defense,0.23265280561122245,9.940889278557114,3.324734416890081,3.979874329758714,2.333041082164329,1.1366939294209653,91,100,100,100,94,13
norway,MOWI.OL,Consumer Defensive,Farm Products,0.08501814411612234,24.843050325590443,18.05661042881084,18.814899803339852,1.0868325557283567,3.018714401952807,27,33,55,55,50,33
norway,NHY.OL,Basic Materials,Aluminum,0.018675782333622673,1.2314347058057513,0.7235860602539012,1.1535050843363492,0.9072474921475807,1.875233819678264,25,82,73,60,48,34
norway,NOD.OL,Technology,Semiconductors,-0.04889354903808584,4.4160041354182065,8.449287912433501,8.485954579100168,0.42857142857142855,5.3428571428571425,0,22,93,93,65,99
norway,ORK.OL,Consumer Defensive,Packaged Foods,0.11380513736152255,1.7602408179823505,1.2678323048324973,1.832118854198254,0.8038996875380433,1.1607078921794283,50,52,30,36,72,16
norway,SALM.OL,Consumer Defensive,Farm Products,0.07971075422517447,3.4416280585218195,3.1221420671243325,4.173171815408086,1.1866223829143194,2.16630724343524,13,40,63,71,66,53
norway,SCATC.OL,Utilities,Utilities - Renewable,0.10596908864807249,1.2378334975196024,2.857983903830124,8.760157816873603,2.84517676319062,0.9299119111451551,63,5,6,18,13,8
norway,SCHA.OL,Communication Services,Publishing,0.3005225125069483,1.5273683908052216,4.526449220905697,5.391565193493994,0.29776542523624233,8.985250106883283,94,34,89,87,8,99
norway,TEL.OL,Communication Services,Telecom Services,-0.05016826140223005,2.7171872854734893,2.0924379923711074,3.6967300531335034,2.3865670021556067,0.8644487932159165,0,47,93,89,30,92
norway,TGS.OL,Energy,Oil & Gas Equipment & Services,0.06285173974231972,2.1384373547393505,2.5780831924735925,3.754070034578856,1.1937244201909956,0.7281831187410587,64,92,42,61,99,3
norway,TOM.OL,Industrials,Waste Management,0.09405436836749527,6.033552419909524,3.1234803654844687,3.8217043269534634,1.5108300625090856,1.4625574002119393,8,49,51,55,99,21
norway,VEI.OL,Industrials,Engineering & Construction,0.41297366730892743,4.914728389830642,0.40368390498872697,0.7594024110026539,4.7809890815671165,0.8347029077117573,87,87,99,79,52,13
norway,WAWI.OL,Industrials,Marine Shipping,0.23888194428847023,1.0707146673793966,0.8828063761520563,1.4581051809329324,1.1454457598453731,1.8992758393680051,80,90,72,28,28,84
norway,WWI.OL,Industrials,Marine Shipping,0.1885436776370525,0.5728221033274492,1.5617508288833288,2.539109319449367,0.42318339100346014,1.1696969696969697,89,91,92,50,2,22
norway,YAR.OL,Basic Materials,Agricultural Inputs,-0.004331043166804718,1.0133835718491766,0.5672196734739509,1.1637505935342827,1.1099434114793858,1.6991477272727273,0,65,57,77,76,43
