country,ticker,sector,industry,roe_ratio,pb_ratio,ps_ratio,evrv_ratio,de_ratio,current_ratio,roe_perc,pb_perc,ps_perc,evrv_perc,de_perc,current_perc
norway,AFG.OL,Industrials,Engineering & Construction,0.34438226431338786,6.14832056066059,0.42619207037522533,0.7835864365724083,5.30520878174774,0.6175539283593905,29,54,7,10,90,15
norway,AKRBP.OL,Energy,Oil & Gas E&P,0.053061554638841706,1.3368843101331187,1.1619727732125809,2.7997680488031325,2.1583757987543475,0.9499355788698693,32,24,24,9,16,51
norway,ATEA.OL,Technology,Information Technology Services,0.23815194093831865,3.4888307553695816,0.3896584833970868,0.7314501633630406,3.438199571326506,0.9253839350325641,79,73,77,81,84,82
norway,AUSS.OL,Consumer Defensive,Farm Products,0.11345734255389964,0.6238415624513363,0.48175975811762,1.0617517617730918,0.9535150327280796,2.6294616905011043,58,45,29,34,95,37
norway,BONHR.OL,Industrials,Conglomerates,0.17193350307024113,1.5180844690729371,0.717661427357689,1.5204793259699803,2.515950277070541,1.5769551442387861,81,69,51,5,25,36
norway,BRG.OL,Basic Materials,Specialty Chemicals,0.08650875386199794,3.984451618921376,3.0131639579226297,3.603662400290231,0.8774459320288363,1.7278270509977827,4,81,90,91,56,60
norway,DNO.OL,Energy,Oil & Gas E&P,0.012965964343598054,0.7652074521469182,1.1862638140066548,2.0468165778257505,1.1377633711507293,2.5590361445783136,41,23,31,20,41,31
norway,EPR.OL,Consumer Defensive,Discount Stores,0.4886267902274642,3.563371101214423,1.0326468498880665,1.4456514071797333,1.6149957877000842,1.2428909952606635,77,64,56,42,13,52
norway,EQNR.OL,Energy,Oil & Gas Integrated,0.21513714167869658,1.7112650055828198,0.7192320504170073,1.4598710269451076,1.961022891317797,1.7074946107113862,78,73,31,25,71,65
norway,GSF.OL,Consumer Defensive,Farm Products,0.15512639346836238,1.1470325282500105,0.9428820563273511,1.8564081275715432,1.1452347307269588,3.401800787844682,51,11,33,52,31,84
norway,KOG.OL,Industrials,Aerospace & Defense,0.282064128256513,8.237209418837676,2.7549380026809653,3.410077915549598,2.333041082164329,1.1366939294209653,93,99,99,99,96,13
norway,MOWI.OL,Consumer Defensive,Farm Products,0.1881436125800167,26.754491189499603,16.841080386102323,17.601942334245283,1.2930698580573337,3.1462450592885376,60,44,44,45,94,44
norway,NHY.OL,Basic Materials,Aluminum,-0.11024279663544712,1.4266627142795307,0.7672652739701771,1.201805634153263,1.0527550756626698,1.8229290075640208,0,92,77,66,71,30
norway,ORK.OL,Consumer Defensive,Packaged Foods,0.09278282192325535,1.590624926062273,1.0147530656753607,1.5831898433967657,0.9129166942806017,1.266584550413514,20,24,1,1,83,28
norway,SALM.OL,Consumer Defensive,Farm Products,0.25305261042158683,4.277758655343952,2.654061447811448,3.6718005674024194,1.679815084669112,1.8172350418623646,43,61,52,57,88,18
norway,SCATC.OL,Utilities,Utilities - Renewable,0.3329495740271702,1.220196812695796,2.9245666432328044,11.204919844115807,3.811766060326963,0.9027506654835847,90,3,7,35,28,3
norway,SCHA.OL,Communication Services,Publishing,0.2005353006005263,1.6357731806433171,4.4541959446706585,5.230408585532981,0.3138255999640134,0.7085990338164251,82,23,83,83,8,33
norway,TEL.OL,Communication Services,Telecom Services,-0.4639362312547493,2.693314266777189,2.074053977555574,3.67834603831797,2.3865670021556067,0.8644487932159165,0,44,93,86,31,93
norway,TGS.OL,Energy,Oil & Gas Equipment & Services,0.06901960784313725,1.18326660174817,0.4750204399335381,0.6274133870368127,0.5341176470588236,0.7611683848797252,54,30,2,2,77,3
norway,TOM.OL,Industrials,Waste Management,0.06327206990057246,6.657853841985626,2.679774060338382,3.207727007221719,1.4876468815908406,1.4862266592715845,5,82,71,70,98,26
norway,VEI.OL,Industrials,Engineering & Construction,0.6485424172944645,5.001860330271167,0.31462583625181045,0.5844461757935938,4.9652800524074685,0.8555721353962146,90,81,58,11,62,18
norway,WAWI.OL,Industrials,Marine Shipping,0.14713148503980236,1.0722381946253046,0.7623270380601063,1.405184180917249,1.3722206972275597,1.8903724525650034,69,86,70,19,33,83
norway,WWI.OL,Industrials,Marine Shipping,0.11843079200592153,0.5648843859438716,1.526317610820341,2.7053176108203405,0.5192450037009623,1.257364341085271,49,83,90,69,6,25
norway,YAR.OL,Basic Materials,Agricultural Inputs,0.12998678996036991,1.0458818677020467,0.5525771732624577,1.1052014055349313,1.117173051519155,1.6728594507269787,65,67,44,63,77,42
