date;revenue;cogs;gross_profit;sell_gen_adm_exp;r&d;other_income;financial_income;profit_before_tax;tax;net_profit;minority_interest;net_profit_minority_int;cash;acc_rec;short_invest;inventory;prep_expanses;other_curr_assets;curr_assets;ppe;long_term_invest;goodwill;intangible_assets;other_long_assets;non_current_assets;total_assets;acc_pay;short_term_debt;acc_expenses;current_debt;other_curr_liab;curr_liab;long_term_debt;other_liab;total_liab;charter_capital;addditional_cap;retained_earnings;treasury_stocks;other_eq_adjust;common_equity;minority_interest;total_equity;depr;amort;deff_tax;non_cash_item;cash_tax_paid;cash_interest_paid;cash_payment;cash_receipt;change_in_wc;cash_from_operating_activities;capex;other_investing_cf_items;cash_from_investing;financing_cf_item;total_cash_dividend_paied;issuance_of_stocks;issuance_of_debt;cash_from_financing;foreign_exchange_effect;net_change_in_cash;shares
2013-03-31;9,249;-8,226;1,023;-241;-107;20;-47;648;-140;508;-;508;846;1,24;-;8,252;-;971;11,309;-;33;-;3,079;25,456;28,568;39,877;3,889;-;-;1,58;1,61;7,079;4,354;5,486;16,919;-;-;-;-;22,958;22,958;13;22,971;682;-;-;-39;190;-;-;-;-495;796;-1,017;-1;-1,018;-;-;-;57;57;-2;-165;273
2013-06-30;8,035;-7,8;235;-199;-123;28;-57;-116;-16;-100;-1;-101;79;1,173;-;7,475;-;1,651;10,378;-;32;-;3,138;26,432;29,602;39,98;3,139;-;-;3,232;1,416;7,787;4,668;5,515;17,97;-;-;-;-;22,01;22,01;13;22,023;724;-;-;-91;354;-;-;-;-484;33;-1,509;2;-1,507;-;-1,094;-;1,801;707;3;-766;273
2013-09-30;8,472;-7,522;950;-214;-85;28;-51;628;-130;498;-1;497;223;-;-;8,17;-;2,328;10,721;-;131;-;3,098;26,703;29,932;40,653;-;-;-;3,422;5,189;8,611;4,138;5,45;18,199;-;-;-;-;22,454;22,454;-;22,454;699;-;-;63;-283;-;-;-;196;1,586;-1,15;-1;-1,151;1;-1;-;-291;-291;-1;143;273
2013-12-31;8,653;-7,933;720;-149;-90;7;-65;423;-32;391;-4;387;611;1,048;-;8,031;-;1,474;11,164;-;33;-;3,13;27,514;30,677;41,841;3,636;-;-;3,957;1,412;9,005;4,346;5,431;18,782;-;-;-;-;23,059;23,059;16;23,075;727;-;-;8;42;-;-;-;-66;1,09;-1,294;-1;-1,295;-;-;-;588;587;6;388;273
2014-03-31;8,551;-8,01;541;-200;-85;7;-52;211;-58;153;1;154;289;1,261;-;8,108;-;1,34;10,998;-;42;-;3,148;27,673;30,863;41,861;3,332;-;-;3,999;1,523;8,854;4,413;5,47;18,737;-;-;-;-;23,124;23,124;5;23,129;723;-;-;86;156;-;-;-;-577;442;-867;-7;-874;-;-;-;111;111;-;-321;273
2014-06-30;9,438;-8,607;831;-261;-113;22;-94;385;-89;296;-2;294;1,284;1,523;-;7,212;-;1,387;11,406;-;43;-;3,197;27,896;31,136;42,542;3,421;-;-;4,281;1,675;9,377;4,802;5,49;19,669;-;-;-;-;22,873;22,873;6;22,879;816;-;-;-144;34;-;-;-;760;1,818;-904;6;-898;1;-479;-;551;73;1;994;273
2014-09-30;9,287;-8,179;1,108;-182;-83;14;-72;785;-170;615;-1;614;544;1,38;-;7,384;-;1,338;10,646;-;43;-;3,211;27,787;31,041;41,687;3,424;-;-;3,036;1,662;8,122;4,578;5,533;18,233;-;-;-;-;23,454;23,454;-;23,454;851;-;-;-155;55;-;-;-;-34;1,447;-719;1;-718;-;-;-;-1,468;-1,469;-;-740;273
2014-12-31;9,615;-8,109;1,506;-237;-114;2;-67;1,09;-255;835;-;835;865;1,344;-;7,885;-;1,476;11,57;-;45;-;3,516;28,734;32,295;43,865;3,764;-;-;2,845;2,214;8,823;4,819;6,256;19,898;-;-;-;-;23,967;23,967;7;23,974;887;-;-;8;-3;-;-;-;120;2,105;-1,001;-715;-1,716;-1;-;-;-69;-70;2;321;273
2015-03-31;10,406;-8,892;1,514;-233;-96;20;-59;1,146;-251;895;-;895;683;1,629;-;8,952;-;1,182;12,446;-;46;-;3,486;28,51;32,042;44,488;3,928;-;-;3,151;2,273;9,352;4,217;6,236;19,805;-;-;-;-;24,683;24,683;-;24,683;852;-;-;-206;50;-;-;-;-1,067;725;-705;-;-705;-;-;-;-201;-201;-;-181;273
2015-06-30;10,373;-8,927;1,446;-256;-133;33;-62;1,028;-218;810;-;810;689;1,627;-;8,093;-;1,083;11,492;-;46;-;3,451;28,44;31,937;43,429;3,629;-;-;3,847;2,296;9,772;2,586;6,082;18,44;-;-;-;-;24,989;24,989;7;24,996;881;-;-;208;81;-;-;-;314;2,431;-877;2;-875;-;-615;-;-934;-1,549;-2;5;273
2015-09-30;9,764;-8,587;1,177;-200;-111;12;-49;829;-181;648;-1;647;947;1,506;-;8,427;-;1,137;12,017;-;45;-;3,441;28,504;31,99;44,007;3,94;-;-;3,129;2,543;9,612;2,67;6,112;18,394;-;-;-;-;25,613;25,613;7;25,62;866;-;-;171;69;-;-;-;-33;1,832;-879;-;-879;-1;-;-;-696;-697;1;257;273
2015-12-31;9,699;-8,948;751;-241;-156;60;-60;354;-65;289;-;289;923;1,236;-;7,748;-;1,195;11,102;-;48;-;3,366;28,506;31,92;43,022;3,142;-;-;3,182;2,551;8,875;2,484;5,862;17,221;-;-;-;-;25,801;25,801;6;25,807;923;-;-;184;72;138;-;-;-214;1,247;-1,186;-25;-1,211;-;-;-;-57;-56;-4;-24;273
2016-03-31;8,85;-7,627;1,223;-237;-114;16;-52;836;-180;656;-1;655;856;1,567;-;8,165;-;975;11,563;-;48;-;3,398;28,705;32,151;43,714;3,318;-;-;2,909;2,407;8,634;2,501;6,109;17,244;-;-;-;-;26,47;26,47;-;26,47;902;-;-;-127;153;-;-;-;-601;1,01;-799;-;-799;-;-;-;-278;-278;-;-67;273
2016-06-30;9,596;-8,306;1,29;-258;-133;14;-95;818;-197;621;-;621;972;1,923;-;8,131;-;938;11,964;-;50;-;3,441;34,972;38,463;50,427;3,708;-;-;3,106;2,946;9,76;8,28;6,212;24,252;-;-;-;-;26,175;26,175;6;26,181;1,026;-;-;-279;308;-;-;-;528;2,092;-944;-5,943;-6,887;-;-889;-;5,796;4,907;4;116;273
2016-09-30;9,733;-7,855;1,878;-226;-112;-14;-72;1,454;-318;1,136;-1;1,135;742;1,903;-;9,191;-;1,105;12,941;-;55;-;3,511;35,24;38,806;51,747;3,684;-;-;2,697;3,082;9,463;8,392;6,321;24,176;-;-;-;-;27,571;27,571;7;27,578;1,124;-;-;-265;125;-;-;-;-1,242;1,072;-976;-5;-981;-;-;-;-322;-322;1;-230;273
2016-12-31;12,137;-9,416;2,721;-276;-171;78;-85;2,267;-440;1,827;-1;1,826;1,503;2,017;-;10,077;-;1,419;15,016;-;56;-;3,508;35,297;38,861;53,877;4,239;-;-;1,907;3,5;9,646;8,187;6,658;24,491;-;-;-;-;29,386;29,386;8;29,394;1,147;-;-;-277;123;-;-;-;-316;2,821;-1,27;142;-1,128;-;-;-;-931;-931;-;762;273
2017-03-31;12,73;-10,208;2,522;-243;-139;9;-74;2,075;-406;1,669;-;1,669;930;2,652;-;9,843;-;1,173;14,598;-;59;-;3,484;35,141;38,684;53,282;3,968;-;-;1,137;3,21;8,315;7,318;6,63;22,263;-;-;-;-;31,019;31,019;-;31,019;1,095;-;-;-77;492;-;-;-;-1,102;1,991;-1,093;162;-931;-;-;-;-1,633;-1,633;-;-573;273
2017-06-30;11,554;-9,259;2,295;-245;-158;22;-71;1,843;-382;1,461;-1;1,46;1,706;2,142;-;9,159;-;1,43;14,437;-;58;-;3,471;35,503;39,032;53,469;3,622;-;-;2,004;3,469;9,095;6,563;6,683;22,341;-;-;-;-;31,128;31,128;-;31,128;1,142;-;-;294;284;-;-;-;257;3,535;-1,385;3;-1,382;-;-1,436;-;59;-1,377;1;777;273
2017-09-30;11,628;-9,461;2,167;-167;-135;-6;-69;1,79;-312;1,478;-1;1,477;1,475;2,333;-;9,021;-;1,273;14,102;-;58;-;3,453;35,46;38,971;53,073;3,695;-;-;1,308;3,617;8,62;5,286;6,648;20,554;-;-;-;-;32,519;32,519;-;32,519;1,127;-;-;-105;264;-;-;-;142;2,954;-1,243;3;-1,24;-;-;-;-1,945;-1,945;-1;-232;273
2017-12-31;13,619;-10,06;3,559;-214;-227;-28;-60;3,03;-782;2,248;-;2,248;2,51;2,324;-;9,5;-;1,502;15,836;-;59;-;3,482;36,505;40,046;55,882;4,426;-;-;1,336;4,118;9,88;4,004;6,954;20,838;-;-;-;-;35,044;35,044;9;35,053;1,237;-;-;-157;417;-;-;-;147;4,257;-1,874;-1;-1,875;-;-;-;-1,349;-1,349;1;1,034;273
2018-03-31;13,331;-10,254;3,077;-262;-156;13;-58;2,614;-603;2,011;-;2,011;5,008;2,777;-;10,499;-;1,277;19,561;-;61;-;3,605;36,857;40,523;60,084;4,973;-;-;730;3,883;9,586;5,802;6,961;22,349;-;-;-;-;37,735;37,735;-;37,735;1,275;-;-;93;620;-;-;-;-1,443;2,539;-1,109;1;-1,108;-;-;-;1,064;1,064;-;2,495;273
2018-06-30;14,071;-11,123;2,948;-308;-187;14;-66;2,401;-363;2,038;-1;2,037;1,398;2,713;-;10,34;-;1,389;15,84;-;51;-;3,656;38,236;41,943;57,783;4,85;-;-;233;4,034;9,117;4,824;7,656;21,597;-;-;-;-;36,186;36,186;-;36,186;1,233;-;-;-97;436;-;-;-;-265;3,272;-1,556;1;-1,555;-;-3,829;-;-1,499;-5,328;3;-3,608;273
2018-09-30;12,51;-10,35;2,16;-240;-164;16;-64;1,708;-422;1,286;-2;1,284;1,203;2,313;-;10,405;-;1,107;15,028;-;49;-;3,611;38,334;41,994;57,022;4,847;-;-;732;3,187;8,766;3,29;7,69;19,746;-;-;-;-;37,276;37,276;-;37,276;1,203;-;-;248;1,083;-;-;-;-880;2,279;-1,459;3;-1,456;-;-;-;-1,016;-1,016;-;-193;273
2018-12-31;12,542;-10,033;2,509;-276;-198;62;-57;2,04;-174;1,866;-;1,866;2,272;1,864;-;10,358;-;1,481;15,975;-;43;-;3,566;39,143;42,752;58,727;5,106;-;-;218;3,443;8,767;3,145;7,815;19,727;-;-;-;-;39;39;-;39;1,219;-;-;-120;147;-;-;-;539;3,678;-2,014;57;-1,957;-;-;-;-651;-651;-2;1,068;273
2019-03-31;13,047;-10,171;2,876;-291;-151;8;-51;2,391;-501;1,89;-;1,89;1,93;2,608;-;12,014;-;1,521;18,073;-;42;-;3,627;39,952;43,621;61,694;5,435;-;-;278;3,543;9,256;3,168;8,088;20,512;-;-;-;-;41,182;41,182;-;41,182;1,297;-;-;-400;501;-;-;-;-2,007;1,281;-1,605;2;-1,603;-;-;-;-23;-23;3;-342;273
2019-06-30;12,747;-10,747;2;-306;-195;42;-63;1,478;-346;1,132;-1;1,131;826;2,518;-;10,95;-;1,597;15,891;-;26;-;3,665;41,757;45,448;61,339;4,889;-;-;1,806;3,316;10,011;3,377;8,98;22,368;-;-;-;-;38,971;38,971;-;38,971;1,209;-;-;229;539;-;-;-;-13;2,903;-2,133;18;-2,115;-;-3,556;-;1,662;-1,894;-;-1,106;273
2019-09-30;11,17;-8,854;2,316;-255;-233;49;-76;1,801;-394;1,407;-1;1,406;553;2,29;-;12,866;-;1,509;17,218;-;15;-;3,682;42,565;46,262;63,48;4,719;-;-;2,209;3,413;10,341;3,401;9,155;22,897;-;-;-;-;40,583;40,583;11;40,594;1,293;-;-;-241;417;-;-;-;-1,685;1,168;-1,833;12;-1,821;1;-;-;377;378;4;-271;273
2019-12-31;12,972;-10,75;2,222;-322;-161;5;-77;1,667;-307;1,36;-;1,36;1,373;2,119;-;13,262;-;1,76;18,514;-;15;-;3,621;44,274;47,91;66,424;6,391;-;-;2,328;3,65;12,369;3,261;9,366;24,996;-;-;-;-;41,428;41,428;12;41,44;1,293;-;-;48;603;-;-;-;1,082;4,09;-3,256;-12;-3,268;-;-;-;1;1;-4;819;273
2020-03-31;13,21;-11,304;1,906;-315;-182;26;-66;1,369;-302;1,067;-;1,067;852;2,303;-;13,758;-;2,049;18,962;-;15;-;3,656;45,842;49,513;68,475;5,898;-;-;2,703;3,641;12,242;3,346;9,596;25,184;-;-;-;-;43,291;43,291;12;43,303;1,258;-;-;42;409;-;-;-;-1,693;976;-1,824;3;-1,821;-20;-;-;341;321;3;-521;273
2020-06-30;13,391;-11,11;2,281;-284;-209;14;-76;1,726;-380;1,346;-;1,346;1,984;2,272;-;12,633;-;1,813;18,702;-;14;-;3,562;44,844;48,42;67,122;4,957;-;-;1,401;3,069;9,427;6,241;9,529;25,197;-;-;-;-;41,925;41,925;12;41,937;1,422;-;-;-108;295;-;-;-;-361;2,679;-1,504;-;-1,504;-;-1,915;-;1,856;-39;-3;1,133;273
2020-09-30;13,55;-10,557;2,993;-242;-162;32;-62;2,559;-524;2,035;-1;2,034;2,627;2,675;-;13,88;-;1,876;21,058;-;15;-;3,564;44,606;48,185;69,243;6,004;-;-;152;3,404;9,56;6,255;9,404;25,219;-;-;-;-;44,024;44,024;12;44,036;1,415;-;-;-382;346;-;-;-;-441;3,151;-1,275;1;-1,274;1;-;-;-1,236;-1,235;-;642;273
