date;revenue;cogs;gross_profit;sell_gen_adm_exp;r&d;other_income;financial_income;profit_before_tax;tax;net_profit;minority_interest;net_profit_minority_int;cash;acc_rec;short_invest;inventory;prep_expanses;other_curr_assets;curr_assets;ppe;long_term_invest;goodwill;intangible_assets;other_long_assets;non_current_assets';total_assets;acc_pay;short_term_debt;acc_expenses;current_debt;other_curr_liab;curr_liab;long_term_debt;other_liab;total_liab;charter_capital;addditional_cap;retained_earnings;treasury_stocks;other_eq_adjust;common_equity;minority_interest;total_equity;depr;amort;deff_tax;non_cash_item;cash_tax_paid;cash_interest_paid;cash_payment;cash_receipt;change_in_wc;cash_from_operating_activities;capex;other_investing_cf_items;cash_from_investing;financing_cf_item;total_cash_dividend_paied;issuance_of_stocks;issuance_of_debt;cash_from_financing;foreign_exchange_effect;net_change_in_cash;shares
2016-12-31;4925;-2520;2405;-608;0;737;27;2561;-487;2074;-188;1886;2234;2631;0;7140;0;0;12005;0;847;0;8018;4209;13074;25079;0;0;0;1094;3038;4132;4541;3866;12539;0;0;7702;0;4838;12540;935;13475;153;0;0;-76;23;0;0;0;-2005;632;-279;-989;-1268;-48;0;0;973;925;0;289;59,58
2017-03-31;5459;-2897;2563;-652;0;-1593;53;371;-66;305;-9;296;3332;2584;0;5842;0;0;11758;0;934;0;8056;4255;13245;25003;0;0;0;723;2895;3618;4882;3659;12159;0;0;8006;0;4838;12844;940;13784;146;0;0;-99;197;0;0;0;984;1402;-182;-31;-214;-43;-2;0;-46;-91;0;1098;59,58
2017-06-30;4224;-2246;1978;-526;0;58;50;156;-341;1219;-72;1147;2492;2382;0;6666;0;0;11540;0;1030;0;8059;4502;13591;25131;0;0;0;696;2331;3027;4985;3862;11874;0;0;8420;0;4838;13258;955;14213;147;0;0;-119;281;0;0;0;-1230;359;-366;43;-323;-50;-832;0;6;-876;0;-840;59,58
2017-09-30;4373;-2148;2226;-609;0;-1270;5;352;-75;277;26;303;3034;2334;0;6205;0;0;11573;0;1038;0;8039;4744;13821;25394;0;0;0;742;2366;3108;5026;3722;11856;0;0;8701;0;4838;13539;930;14469;146;0;0;-47;4;0;0;0;425;876;-385;5;-380;-47;0;0;94;47;0;543;59,58
2017-12-31;4567;-2364;2203;-651;0;-1726;-14;-189;-137;-52;55;3;3514;2409;0;5449;0;0;11372;0;1118;0;8020;5148;14286;25658;0;0;0;830;2986;3816;4946;3289;12051;0;0;8769;0;4838;13607;875;14482;144;0;0;-43;12;0;0;0;1139;1052;-630;116;-513;-48;0;0;-10;-58;0;480;59,58
2018-03-31;5000;-2608;2392;-706;0;230;60;1977;-426;1551;-106;1446;3871;2088;0;6372;0;449;12780;0;1107;0;8184;5750;15041;27821;1314;82;0;792;1697;3885;4588;4321;12794;0;0;1019;0;4838;15028;980;16008;154;0;0;-86;234;0;0;0;-1176;869;-660;-110;-770;-38;0;0;295;257;0;357;595,77
2018-06-30;5042;-2746;2296;-587;0;-235;27;1501;-338;1163;-44;1119;3010;2479;0;6723;0;0;12212;0;1001;0;8192;5996;15189;27401;0;0;0;810;2416;3226;5213;3743;12182;0;0;10381;0;4838;15219;969;16188;161;0;0;-111;588;0;0;0;-1050;499;-264;149;-115;-59;-945;0;-609;-1612;0;-1228;595,77
2018-09-30;4456;-2299;2156;-668;0;-775;-1;711;-154;557;-29;529;2515;2390;0;7447;0;0;12352;0;970;0;8176;6270;15416;27768;0;0;0;1129;2613;3742;4497;3786;12026;0;0;10905;0;4838;15743;1000;16742;159;0;0;-43;-4;0;0;0;-522;306;-353;73;-280;-49;-5;2;-102;-154;0;-128;595,77
2018-12-31;5340;-2725;2615;-708;0;-1687;40;260;-67;327;18;344;3036;2579;0;6880;0;0;12495;0;1105;0;8166;6607;15878;28373;0;0;0;1032;3146;4177;4551;3492;12220;0;0;11315;0;4838;16153;981;17134;185;0;0;-843;33;0;0;0;1506;1108;-516;65;-451;-40;0;0;-96;-136;0;521;595,77
2019-03-31;4746;-2440;2306;-774;0;-989;36;579;-112;467;-11;456;2949;2098;0;6758;0;529;12333;0;1163;0;8174;8230;17567;29900;1321;83;0;1411;1224;4038;3807;5447;13292;0;0;11770;0;4838;16608;985;17592;243;0;0;74;393;0;0;0;-740;156;-372;10;-362;-51;-8;0;178;119;0;-88;595,77
2019-06-30;5340;-3075;2264;-650;0;-679;11;946;-195;751;-16;736;1896;2305;0;6637;0;572;11410;0;1079;0;8167;8389;17635;29045;1330;0;0;1253;1126;3709;3786;5429;12925;0;0;11282;0;4838;16120;927;17047;250;0;0;-230;278;0;0;0;-202;763;-242;131;-111;-56;-1265;0;-384;-1705;0;-1052;595,77
2019-09-30;5102;-3037;2064;-723;0;-1385;-107;-152;-25;-126;25;-102;3255;2113;0;6123;0;496;11988;0;985;0;8167;8411;17563;29551;1618;0;0;1702;1190;4509;3718;5252;13480;0;0;11233;0;4838;16071;902;16973;258;0;0;579;11;0;0;0;626;1312;-216;88;-128;-75;0;0;250;175;0;1359;595,77
2019-12-31;5239;-2630;2609;-786;0;-857;26;992;-215;777;-10;767;3031;2244;0;6606;0;511;12393;0;1038;0;8151;8608;17797;30189;1554;0;0;585;2270;4409;3628;5302;13339;0;0;12013;0;4838;16851;913;17763;262;0;0;-297;9;0;0;0;-329;628;-601;327;-275;-72;0;0;-505;-577;0;-224;595,77
2020-03-31;5305;-2612;2693;-898;0;-1508;-111;176;-49;127;-1;126;2891;2338;0;6243;0;518;11990;0;1092;0;8223;9022;18336;30326;1305;19;0;1251;1413;3988;3985;5228;13201;0;0;12288;0;4838;17126;909;18035;281;0;0;544;216;0;0;0;-561;441;-525;-37;-563;-74;-5;0;60;-18;0;-140;595,77
2020-06-30;4712;-2811;1901;-653;0;-634;-44;569;-121;448;5;453;3073;1791;0;6310;0;654;11828;0;1050;0;8224;9032;18306;30134;1180;20;0;1718;1186;4104;4159;5290;13553;0;0;11743;0;4838;16581;878;17459;284;0;0;-310;45;0;0;0;293;837;-208;9;-199;-80;-920;0;544;-456;0;182;595,77
2020-09-30;4773;-2757;2016;-725;0;-826;-4;461;-89;372;-14;358;2695;1857;0;6701;0;470;11723;0;1120;0;8338;9015;18474;30196;1364;226;0;1346;1144;4080;3898;5256;13235;0;0;12123;0;4838;16961;892;17853;285;0;0;-157;180;0;0;0;-50;540;-192;-134;-327;-59;0;0;-533;-592;0;-378;595,77
2020-12-31;5170;-2927;2243;-796;0;-169;23;-220;-63;-157;15;-143;2966;1868;0;6008;0;619;11461;0;1169;0;8307;9226;18702;30163;1194;0;0;1674;1411;4279;3994;5133;13406;0;0;11919;0;4838;16757;876;17633;307;0;0;639;12;0;0;0;-177;549;-269;3;-266;-42;0;0;31;-11;0;272;595,77
2021-03-31;4925;-2610;2315;-895;0;-601;18;836;-173;664;-37;626;3166;1863;0;6239;0;651;11918;0;1203;0;8326;9550;19080;30998;1212;42;0;1303;1472;4029;4130;5470;13629;0;0;12531;0;4838;17369;922;18291;304;0;0;-420;114;0;0;0;111;831;-191;-40;-230;-50;0;0;-352;-402;0;199;595,77
2021-06-30;5304;-2918;2386;-784;0;-334;5;1274;-264;101;-64;945;2427;2113;0;7117;0;663;12320;0;1133;0;8609;9782;19523;31843;1623;310;0;1433;1418;4784;4127;5786;14697;0;0;12309;0;4838;17147;1086;18232;316;0;0;-791;110;0;0;0;58;857;-292;-130;-422;-55;-1201;0;82;-1174;0;-739;595,77
2021-09-30;6325;-3794;2531;-869;0;-1285;-27;350;-76;274;-1;274;3992;2202;0;6799;0;584;13577;0;1149;0;8594;9942;19685;33262;1772;38;0;1309;1469;4589;5393;5854;15836;0;0;12589;0;4838;17426;1080;18507;316;0;0;180;2;0;0;0;254;1101;-237;-16;-254;-49;0;0;768;719;0;1566;595,77
2021-12-31;6519;-3515;3004;-926;0;-939;-69;1071;-237;834;-47;787;4203;2174;0;7212;0;595;14184;0;1498;0;8554;9958;20010;34194;1690;0;0;1418;1768;4876;5329;5792;15997;0;0;13359;0;4838;18197;1126;19323;316;0;0;-232;160;238;0;0;-204;951;-295;-240;-535;-84;0;0;-121;-206;0;211;595,77
2022-03-31;5524;-2596;2928;-1012;0;-848;58;1125;-238;887;-87;800;3836;2151;0;8040;0;812;14839;0;1527;0;8560;10210;20298;35137;1623;34;0;1192;1946;4795;5199;6231;16225;0;0;14074;0;4838;18912;1203;20115;321;0;0;-319;143;56;0;0;-727;400;-191;-45;-236;-56;-9;0;-466;-531;0;-367;595,77
2022-06-30;6567;-3519;3047;-872;0;-428;35;1782;-364;1418;-145;1273;2975;2536;0;9716;0;781;16008;0;1738;0;8710;10222;20670;36679;1931;35;0;2089;2149;6204;5096;6505;17805;0;0;14035;0;4838;18873;1288;20161;322;0;0;-1159;142;74;0;0;-496;448;-233;-121;-354;-74;-1551;0;669;-956;0;-862;595,77
2022-09-30;7441;-4363;3078;-952;0;-1223;-114;790;-191;599;-5;594;2902;2647;0;9974;0;689;16212;0;1677;0;8706;10245;20628;36840;2124;37;0;1614;2110;5884;4997;6495;17376;0;0;14626;0;4838;19464;1293;20758;342;0;0;-33;11;76;0;0;-133;966;-184;3;-181;-76;-1;0;-781;-858;0;-73;595,77
2022-12-31;7114;-3929;3185;-979;0;-1641;-194;370;-109;261;-21;240;3305;2717;0;9925;0;555;16503;0;1658;0;8550;10351;20559;37062;2077;0;0;2104;2183;6363;4935;6054;17353;0;0;14871;0;4838;19709;1315;21024;341;0;0;351;231;108;0;0;-601;461;-304;167;-137;-108;1;0;187;79;0;403;595,77
2023-03-31;6971;-3566;3406;-1122;0;-845;-105;1335;-302;1033;-61;972;3585;2621;0;10878;0;754;17838;0;1622;0;8704;10481;20806;38644;1932;15;0;2432;2314;6692;4883;6243;17818;0;0;15988;0;4838;20826;1372;22198;347;0;0;-369;67;96;0;0;-685;628;-265;-85;-349;-96;-1;0;99;1;0;280;595,77
2023-06-30;7668;-4321;3347;-961;0;-1440;-182;765;-201;563;-1760;-1197;3826;2987;0;11073;0;988;18874;0;1635;0;8762;10854;21250;40124;2427;23;0;2206;2128;6784;7002;8085;21871;0;0;13415;0;4838;18253;1382;19636;358;0;0;150;142;116;0;0;-610;662;-270;14;-257;-116;-1526;0;1477;-165;0;241;595,77
2023-09-30;8001;-4849;3152;-1045;0;-2237;-211;-342;-55;-287;-79;-366;5170;2972;0;10684;0;957;19784;0;1538;0;8720;10795;21054;40838;2780;32;0;3148;1907;7867;6916;8226;23009;0;0;12991;0;4838;17829;1281;19110;377;0;0;920;73;132;0;0;113;1068;-317;-4;-322;-132;0;0;731;599;0;1345;595,77
